,IL,R1,dEC50,EC50_WT,EC50_Mut,Amp
160,3.5969055019136546e-12,1.136577288762978,1.034300389218421,1.114222537147923e-11,1.0296071489530784e-12,0.0006476436496570853
161,3.5969055019136546e-12,1.3587995109852002,1.027313501543878,1.115853211569039e-11,1.0478366055027281e-12,0.0009920588260572383
162,3.5969055019136546e-12,1.5810217332074223,1.0281285188395568,1.1183002837818622e-11,1.0481656335024323e-12,0.0015196627255269417
163,3.5969055019136546e-12,1.8032439554296444,0.9974396197894215,1.1220556284306657e-11,1.128690237807311e-12,0.0023279299597651175
164,3.5969055019136546e-12,2.0254661776518668,0.9969929487315454,1.1277690151109693e-11,1.1356047741598574e-12,0.003566250164649073
165,3.5969055019136546e-12,2.247688399874089,0.9339419940284674,1.1364324375710606e-11,1.3231272911988099e-12,0.005463647416221185
166,3.5969055019136546e-12,2.469910622096311,0.9380123472180912,1.1494995654164522e-11,1.3258563232725543e-12,0.008371361197591147
167,3.5969055019136546e-12,2.6921328443185333,0.8219261046687745,1.1690479859113582e-11,1.7615956667970522e-12,0.012828352112153624
168,3.5969055019136546e-12,2.9143550665407556,0.8304631402329701,1.1979258671430256e-11,1.7699736567380861e-12,0.019662161640748875
169,3.5969055019136546e-12,3.136577288762978,0.5943443691020942,1.2397676764600854e-11,3.1549751291423456e-12,0.03014427365142327
170,3.5969055019136546e-12,3.336577288762978,0.48845635741453286,1.2918532376878885e-11,4.195240093857785e-12,0.04429327228102254
171,3.5969055019136546e-12,3.536577288762978,0.4490522907979724,1.592185603719744e-11,5.661628932696307e-12,0.06510087610159024
172,3.5969055019136546e-12,3.736577288762978,0.489984132887594,1.781673681448638e-11,5.7655936646396274e-12,0.09570418737010204
173,3.5969055019136546e-12,3.9365772887629777,0.20190572004460883,2.0582544747101648e-11,1.292984587888267e-11,0.14070528035398938
174,3.5969055019136546e-12,4.136577288762978,0.12085157021012094,2.545429849304985e-11,1.9271235666856987e-11,0.20683709512343323
175,3.5969055019136546e-12,4.336577288762978,0.13533384056730036,3.397276204358577e-11,2.48769433177032e-11,0.3039333748424039
